,title,views,ingredients,peoples,times,levels,url
0,구수한 들깨 부추된장국 끓였습니다. ,"조회수 3,250",개조개살:200g|된장:3큰술|다시마:멸치육수:6컵|대파:1대|다진마늘:1/2큰술|부추:2~3줌|들깨가루:2큰술,2인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6918556
1,"분홍소세지토스트
","조회수 1,618",계란:3개|분홍:소세지:1/2개|우유:2T|케첩:1T|딸기쨈:1T|하인즈핫도그래리쉬:1T,2인분,10분 이내,아무나,https://www.10000recipe.com/recipe/6918555
2,천도 복숭아 절임 만드는법 - 딸에게#,"조회수 2,119",천도복숭아:10개|설탕:200g|레몬즙:1T,@,@,@,https://www.10000recipe.com/recipe/6918553
3,다이어트에 딱 좋은 초 간단 곤약 요리,"조회수 3,595",곤약:1/2봉지|래디시:1~2개|새싹채소:약간|참기름:약간|발사믹:1작은술|식초:1작은술|조림간장:1작은술|꿀:1작은술,2인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6918551
4,복숭아 치즈케이크 만들기,조회수 815,크림치즈:100g|생크림:100ml|설탕:40g|판젤라틴:3장|요거트(복숭아맛):40g|바닐라설탕:1개|복숭아:주스:100ml|복숭아:1/2개|스펀지:시트:1장|크린베리주스:1큰술정도|천도복숭아:1/3개|청귤:1개|크림치즈:100g|플레인요거트:1개|꿀:적당량|천도:복숭아:2개|설탕:3큰술|크린베리:주스:1큰술,4인분,2시간 이상,초급,https://www.10000recipe.com/recipe/6918550
5,속까지 시원한 열무물국수,"조회수 3,547",열무김치:50g|냉면육수:1봉|김치국물:1컵|오이:1/2절|삶은달걀:1개|소면:150g|깨:약간|식초:1큰술|설탕:1작은술,2인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6918548
6,까먹을까봐 쓰는 팽이버섯 덮밥,"조회수 1,628",팽이버섯:1봉다리|양파:작은거:1개|식용유:프라이팬에:2를만큼만|가쓰오부시:장국:3숟갈,1인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6918545
7,밥솥으로 만드는 옥수수 깨찰빵 -추석 레시피,"조회수 1,521",찹쌀가루:100g|설탕:2T|베이킹파우더:1/2t|소금:3꼬집|계란:1개|우유:8T|깨:1T|옥수수알:2줌|버터나:식용유,2인분,60분 이내,초급,https://www.10000recipe.com/recipe/6918543
8,새송이버섯 전,"조회수 2,129",새송이버섯:3개|쌀가루:4~5T|전분:1T|소금:약간,4인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6918542
9,느타리버섯 전,"조회수 2,214",느타리버섯:2팩|소금|후추|쌀가루:3T|기름,4인분,60분 이내,아무나,https://www.10000recipe.com/recipe/6918541
10,동태 전,"조회수 1,119",동태:1마리|계란:2~3개|후추|소금|기름,4인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6918540
11,TV요리) 이효리를 의한 이효리를 위한 고사리오일파스타 ★,"조회수 9,767",스파게티면:1인분|참기름:1숟가락|데친:고사리:50g|마늘:2개|양파:1/4개|면수:또는:물:4숟가락|굴소스:1/2숟가락|간장:1/2숟가락|올리고당:1/2숟가락|맛술:1숟가락|소금:약간|후추:약간,1인분,20분 이내,아무나,https://www.10000recipe.com/recipe/6918539
12,열무 청국장 ,"조회수 1,276",열무:1줌|대파|청양고추:1개|돼지고기:100g|홍고추:1개:​|멸치:5개이상|다시마:1장정도:​|고춧가루:1큰술|청국장:3큰술|된장:1.5큰술:​,3인분,60분 이내,아무나,https://www.10000recipe.com/recipe/6918537
