,title,views,ingredients,peoples,times,levels,url
0,김치 어묵 우동,조회수 2.6만,김치:1/4쪽|김치국물:1/2컵|육수:5컵|어묵:2장|시판생우동:2개|대파:조금||국간장:1큰술|소금:조금|고춧가루:1작은술|다진마늘:1t,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/3529545
1,#나물요리 #오이요리 #오이나물만들기 #아삭아삭한 식감의 고소한 오이나물!!,"조회수 4,316",오이:4개|굵은소금:3큰술|다진마늘:1큰술|소금:1작은술|썬파:1큰술|참기름:1작은술|통깨:1작은술,"6인분,이상",30분 이내,아무나,https://www.10000recipe.com/recipe/6910246
2,된장돼지불고기 만드는 법 ,조회수 1.1만,돼지앞다리살|된장:1스푼|된장:2스푼|청주:1스푼|참기름:1스푼|마늘:1스푼|파:조금,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/6842609
3,백종원 수육 레시피,"조회수 6,748",돼지고기:800g|양파:1개|대파:2대|마늘:1큰술|월계수잎:3장|인스턴트커피:2개|통후추:1/3스푼|된장:2큰술|생강:1쪽|청주:5큰술|간장:4큰술|로즈메리:10g|소주:5큰술,3인분,30분 이내,중급,https://www.10000recipe.com/recipe/6935316
4,눈오는날 뜨끈한 감자국 ,"조회수 9,362",감자:1알|양파:1/4개|파:1줌|국물용멸치:20~30마리|다시마:2조각|국간장:1/2T|맛술:1/2T|다진마늘:1/2T|소금:1/2T|후추:약간,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/6926737
5,초간단 소세지 야채 볶음,"조회수 1,763",소세지:2개|양파:1/4개|당근:약간|대파:1뿌리|새송이버섯:1뿌리|스파게티소스:3수저|고추가루:1수저|후추:약간,2인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6917515
6,오늘 저녁요리는 파히타... 멕시칸 아저씨 까를로스의 살사와 구아카몰레,조회수 1.9만,@,4인분,30분 이내,초급,https://www.10000recipe.com/recipe/342751
7,불고기 만들어요/백종원 레시피 /뚝딱 불고기 완성,조회수 1.1만,소고기:300g|양파:1/2개|표고버섯:2개|대파:1/2대|설탕:1.5큰술|물엿:1큰술|다진마늘:1큰술|진간장:3큰술|참기름:2큰술|후추:톡톡,2인분,20분 이내,초급,https://www.10000recipe.com/recipe/6945879
8,국물과 함께하여 더 맛있는 닭볶음탕 황금레시피 닭볶음탕 맛있게 만드는 법 ,"조회수 8,390",닭:1.2kg|감자:2개|양파:1개|당근:1개|파:2개|청양고추:3개|설탕:3T|다진:마늘:1T|고춧가루:200g|고추장:1T|간장:120mL|후추:1t,3인분,60분 이내,초급,https://www.10000recipe.com/recipe/6940501
9,특별한 저녁메뉴~~~새우가 통째 들어간 만두~만두~ 새우만두,조회수 1.8만,@,4인분,90분 이내,중급,https://www.10000recipe.com/recipe/6869186
10,건강한 겨울간식 고구마맛탕...쏠양이 가장 좋아하는 겨울간식이랍니다~♪,"조회수 9,606",고구마:2개|카놀라유:또는:식용유|흑임자|설탕:2숟가락|올리고당(물엿):3숟가락|고구마튀긴기름:2숟가락,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/6863252
11,"남은 치킨이 있다면 무조건 당첨
치킨마요덮밥","조회수 7,782",남은치킨|밥:2공기|양파:1개|대파|김가루|계란:4개|데리야끼소스:5T|마요네즈|후추,2인분,10분 이내,초급,https://www.10000recipe.com/recipe/6857864
12,굴 배추 겉절이 만들기 ,조회수 1.5만,배추:먹을만큼|부추:적당량|굴:적당량|고춧가루:2큰술|깨소금:1큰술|다진마늘:1큰술|액젓:2큰술|식초:2+1/2큰술|설탕과:물엿을:1큰술,4인분,60분 이내,아무나,https://www.10000recipe.com/recipe/1761615
13,"김두장 넣어 맛도 비쥬얼도 굿~
김계란말이",조회수 1.5만,계란:10개|김밥김|마요네즈:2T|파마산치즈가루:1T|맛소금,4인분,15분 이내,초급,https://www.10000recipe.com/recipe/6853630
14,심야식당 묵은지등갈비찜 만들기,조회수 1.5만,등갈비:1대|마늘:4개|후추:1t|대파:5개|묵은지:1포기|천연:조미료:1큰술|생강가루:1t|설탕:취향껏,2인분,120분 이내,중급,https://www.10000recipe.com/recipe/6834717
15,스팸마요덮밥 혼자 먹는 한끼~,"조회수 5,838",스팸:대략:1/4|양파:1/2|계란:2개|밥:1/2공기|마요네즈|쯔유|파슬리가루|소금|후추|맛술,1인분,10분 이내,아무나,https://www.10000recipe.com/recipe/6886311
16,여름반찬 *오이 노각무침* 아삭아삭 맛있어요,"조회수 5,534",오이:노각:2개|양파:1개|천일염:1수저|마늘:1수저|고추장:1수저|참기름:1수저|깨소금:1수저|매실액:1수저,"6인분,이상",10분 이내,아무나,https://www.10000recipe.com/recipe/6874522
17,술안주 만들기) 자연산참돔 생선구이,조회수 2.1만,참돔:2마리|양파:1/4개|청량고추:2~3개|진간장:3T|설탕:1/2스푼,3인분,30분 이내,초급,https://www.10000recipe.com/recipe/6873640
18,시래기나물 잘 삶아야 질기지 않아요,"조회수 8,149",시래기:3움큼|된장:1큰술|참치액(or:저염액젓):1큰술|다진마늘:1큰술|들기름:3큰술|통깨:1/2큰술|대파:약간,1인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6864871
19,"따뜻한 국물요리, 버섯불고기 전골","조회수 6,629",쇠고기:400g|팽이버섯:1봉|표고버섯:6개|새송이버섯:1개|속:배추:1/4포기|양파:1/2개|붉은:고추:1개|풋고추:1개|마늘:1숟가락|육수:1리터|대파:1대|멸치:액젓:2숟가락|시금치:50g|당면:1줌|진간장:2숟가락|후추:약간|참기름:약간,4인분,30분 이내,초급,https://www.10000recipe.com/recipe/6905311
20,견과류멸치볶음 휘리릭 만들어먹는 초간단 밑반찬 !,"조회수 6,933",멸치:1컵(종이컵:기준)|견과류:1/3컵(종이컵:기준)|올리브유:약간|미림:또는:맛술:1큰술|간장:1/2큰술|설탕:1/3큰술|올리고당:1큰술|통깨:약간,2인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6882246
21,"김치 예쁘게 썰기, 김치 예쁘게 써는 법!!","조회수 6,508",배추김치:1/4포기,1인분,10분 이내,아무나,https://www.10000recipe.com/recipe/6911952
22,오이 송송이 김치담그기,조회수 1.4만,백오이:7개|무:작은것:1개|굵은소금:1/4컵|대파:2대|다진마늘:3큰술|다진생강:1작은술|굵은고춧가루:1/2컵|새우젓:3큰술|설탕:4큰술|소금:약간,4인분,60분 이내,초급,https://www.10000recipe.com/recipe/3732247
23,노각무침 여름반찬으로 최고,"조회수 4,197",노각:1개|대파:1쪽|마늘:1수저|(집):고추장:1수저|고춧가루:1수저|올리고당:1수저|참(들)기름:1/2수저|깨소금:약간|소금:1+1/2수저,2인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6888182
24,"참치 김치찌개, 부대찌개, 초간단 캠핑음식",조회수 1.3만,참치캔:1개|김치:1/2포기|비엔나소시지:10개|청양고추:2개|라면사리:1/2개|두부:1/4개|김치국물:2국자|간장:1+1/2T|설탕:1t|소금:약간|식용유:2T|고추가루:2T|다진마늘:1T,2인분,60분 이내,초급,https://www.10000recipe.com/recipe/6853866
25,간장떡볶이 ,"조회수 2,859",밀떡:500g|대파:1컵|당근:약간|양파:1/2개|물:1/2컵|간장:3T|설탕:1T|후추가루:약간,3인분,10분 이내,아무나,https://www.10000recipe.com/recipe/6939813
26,스팸 김치찌개♥,"조회수 3,224",배추김치:적당량|스팸:작은캔:1캔|두부:1/2모|청양고추:1개|홍고추:1개|팽이버섯:적당히|사골곰탕:적당량|다진마늘:1T|고춧가루:1T|설탕:1T,2인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6925842
27,간단하게 맛나게 만드는 쌈장~~,"조회수 8,577",된장:7T|고추장:4T|청양고추:5개|마늘:4쪽|참기름:2T|볶은깨:1T,4인분,10분 이내,초급,https://www.10000recipe.com/recipe/6868871
28,윤은혜의 푸주 마라탕라면~해장국으로 완전 추천해요!,"조회수 6,205",라면:2봉지|콩나물:2주먹|푸주(불린것):2주먹|어묵:2장|팽이버섯(작은):1봉지|대파:1개|마라탕소스:70g|라면스프:1봉지|올리브유:2큰술|물:1~1.5L,4인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6951827
29,아보카도&에그 토스트 만들기#아메리칸 스타일 아보카도 에그 토스트^^,"조회수 6,692",부드러운:바게뜨빵:4쪽|아보카도:2개|달걀:3개|올리브유:1T|허브솔트:1꼬집,2인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6913870
30,견과류멸치볶음 - 딸에게# / 견과류멸치볶음 만드는법,조회수 1.1만,@,@,@,초급,https://www.10000recipe.com/recipe/6809819
31,달콤바삭매작과/타래과,조회수 2.9만,@,@,@,@,https://www.10000recipe.com/recipe/4374207
32,생일국으로 먹는 소고기미역국 ,"조회수 1,521",건미역:40g|소고기국거리:300g|다시마물:1L|멸치액젓:2.5T,5인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6971238
33, 뚝배기 알탕,"조회수 1,886",모둠생선알:700g|무:120g|만가닥버섯:1팩|애호박:70g|대파:1개|청양고추:2개|홍고추:1개|육수팩:1개|소금:약간|후추:약간|맛술:3스푼|된장:1스푼|고추장:0.5스푼|고춧가루:2.5스푼|국간장:2스푼|맛술:2스푼|다진마늘:1스푼|멸치액젓:1스푼|생강즙:2티스푼,4인분,30분 이내,초급,https://www.10000recipe.com/recipe/6954207
34,매운 오징어볶음 맛있게 만들기,"조회수 9,004",오징어:2마리|양배추:1토막|양파:1개|대파:1대|당근:약간|청양고추:3개|마늘:간장:2큰술|고추장:2큰술|청양고춧가루:3큰술|설탕:1큰술|올리고당:1큰술|기름|소금|후추|참기름|통깨:​,4인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6863232
35,안주로 즐기던 라면.이젠 영화관에서도,"조회수 3,042",라면:일인분에:1봉지|피자치즈:1주먹|치즈가루:1주먹|물엿:1숟가락|식용유:1숟가락,1인분,10분 이내,초급,https://www.10000recipe.com/recipe/6860282
36,잡채만들기 - 볶음잡채 휘리릭 뽀까유우~,조회수 1.1만,당면:1.5줌|노랑:파프리카:1/4개|당근:1/4개|부추:1줌|양파:1/2개|통깨:약간|식용유:약간||간장:5큰술|참치액:1큰술|다진마늘:1큰술|올리고당:2큰술|후춧가루:약간|참기름:2~3큰술,3인분,60분 이내,아무나,https://www.10000recipe.com/recipe/6860016
37,고추장 쥐포무침,조회수 4.7만,쥐포|올리브유|마요네즈|고추장:1스푼|꿀:2/3스푼|참기름:약간,4인분,30분 이내,아무나,https://www.10000recipe.com/recipe/1920317
38,술안주로도 좋은 어묵김치찌개.,조회수 1.3만,묵은지:700g|어묵:4장|대파:1뿌리|다진마늘:1수저|참기름:1수저|설탕:1수저|새우젓:1/2수저|다시멸치:10마리|다시마:1장|마른표고:2개|물:2리터,4인분,60분 이내,아무나,https://www.10000recipe.com/recipe/6869574
39,순두부찌개 황금레시피,조회수 1.3만,순두부:1봉|잘게:다진돼지고기:1웅큼|건새우:1줌|육수용:다시마:3장|육수용:무:적당량|육수용:다시멸치:12개정도|애호박:1/4정도|느타리버섯:1웅큼|양파:취향껏|계란:1개|김치:1수저듬뿍|후추가루:2번톡톡|참기름:1스푼|식용유:1스푼|다진마늘:1/2스푼|고춧가루:2스푼|맛술:1/2스푼|국간장:1스푼,3인분,60분 이내,초급,https://www.10000recipe.com/recipe/6833091
40,들깨가루 옷을입은 고구마줄거리볶음~보름나물,"조회수 5,659",말린:고구마줄기:삶아:놓은것:500g|들깨가루:3큰술|소금:1작은술|다진마늘:1큰술|들기름:2큰술|물:종이컵기준:1/2컵,4인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6906552
41,소고기동파육-밥반찬/야식,조회수 2.8만,소고기:등심:300g|파채:2줌|허브솔트:(or:소금):약간|후추:약간|양념장:간장:1.5T|굴소스:1.5T|미림:2T|설탕:2t|올리고당:2T|물:130ml|다진마늘:1t|물:1T|녹말가루:1T|식용유:약간,@,@,중급,https://www.10000recipe.com/recipe/3101170
42, 돼지고기 당면 김치찌개,조회수 1.2만,돼지고기:100g|잘익은:김치:250g|양파:1/4개|불린:당면:1줌|물:2컵|고춧가루:2작은술|참기름:약간|소금:약간|국간장:약간|청주:1큰술|다진마늘:1작은술|고춧가루:1작은술|후추약간,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/1526812
43,"볶음고추장 & 비빔밥/ 비빔밥 나물, 비빔밥 양념장 만들기!",조회수 1.6만,돼지고기:300g|고추장:500g|마늘:7톨|대파:1개|양파:작은것:1개|진간장:3T|맛술:5T|설탕:1/2T|물엿:3T|깨소금:약간|참기름:약간|후추:약간|당근:1/2개|애호박:1개|느타리버섯:1팩|콩나물:300g|무:250g,4인분,60분 이내,초급,https://www.10000recipe.com/recipe/6949944
44,잔치국수 황금 레시피,조회수 3.8만,소면|계란|다시멸치|무|다시마,@,@,초급,https://www.10000recipe.com/recipe/6709301
45,"아욱국, 초간단 아욱된장국",조회수 7.6만,아욱:1줌|조각다시마:3개|쌀뜨물|된장:2T|간장:2T|고추가루:1T|마늘:0.5T|소금,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/6854913
46,"남은 잡채 , 매콤한 잡채밥으로 맛있게 냠냠 ♩",조회수 2.7만,잡채:2줌:듬뿍|밥:2공기|파:조금|청양고추:1개|계란:2개|소세지(선택재료):취향껏|고추기름:3스푼|고춧가루:2스푼|굴소스:1스푼|물:8스푼|깨:조금|후추:조금,2인분,15분 이내,초급,https://www.10000recipe.com/recipe/6834659
47,백종원 폭탄계란찜 만드는법 자세히~!,조회수 1.5만,달걀:5개|물:2/3컵|대파:1/3뿌리|소금:적당량|설탕:1/3작은수저|참기름:1큰수저|후춧가루:적당량|깨소금:적당량,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/6833735
48,박대조림~ 색다른 생선조림 레시피,"조회수 4,870",박대:3마리|무:700g|대파:1대|양파:1개|홍고추:1개|청양고추:2개|다시마물:550cc|간장:1T|고춧가루:2T|간장:2T|맛술:1T|올리고당:1T|다진:생강:1/2t|다진:마늘:1T|물:2T,5인분,60분 이내,초급,https://www.10000recipe.com/recipe/6914315
49, 오늘 뭐 먹지? 쉽고 간단한 달걀 미역국,"조회수 4,383",미역:2인분|달걀:1개|멸치:육수:2컵|간장:1숟가락|참기름:약간,3인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6852698
50,오이소박이 황금레시피 오이소박이 만들기,조회수 1.8만,오이:10개|부추:1/2단|당근:1개|양파:1개|굵은소금:2컵|물|고추가루:8스푼|새우젓:2스푼|멸치액젓:3스푼|설탕:2스푼|마늘:1스푼|생강가루:1/3스푼,3인분,60분 이내,아무나,https://www.10000recipe.com/recipe/6845934
51,리코타치즈 만드는법,조회수 1.3만,우유:1000ml|생크림:500ml|레몬즙:5T|소금:1/2T,4인분,60분 이내,아무나,https://www.10000recipe.com/recipe/6846824
52,진미채주먹밥 이건 맛있을 수 밖에 없쟈나! ,조회수 3.3만,밥:1공기|진미채:30g|대파:10g|당근:10g|식용유:1숟가락|굴소스:1숟가락|후추:약간|통깨:1숟가락|참기름:1숟가락,@,@,아무나,https://www.10000recipe.com/recipe/6904336
53,간단하게 만들어 먹는 식빵 치즈스틱,"조회수 9,255",@,1인분,30분 이내,초급,https://www.10000recipe.com/recipe/6819423
54,감자샐러드 샌드위치 만드는 법 에어프라이어 간식 동영상,"조회수 4,993",감자:3개|옥수수:3큰술|당근:약간|블루베리:7알|마요네즈:2큰술|가당생크림:3큰술|설탕:1작은술,2인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6926730
55,건새우볶음 뚝딱 마른반찬 만들기,"조회수 5,602",건새우|간장|맛술|설탕|다진마늘|파|기름|통깨|검은깨,4인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6892710
56,달콤하고 부드러운 사과 카레 라이스 ,조회수 1.3만,카레가루:6T|감자(중):6개|양파(중):1개|당근:2/3개|사과:2개|우유:200ml|물:적당량|오일:3T,4인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6855036
57,강아지 수제간식 만들기. 강아지 단호박 푸딩 아이스크림,"조회수 9,317",락토프리우유:1리터|한천가루:30g|단호박:1컵,"6인분,이상",2시간 이상,초급,https://www.10000recipe.com/recipe/6893532
58,[연어요리] 연어튀김,조회수 1만,연어:100g|유정란:1|튀김가루:1/2컵|차가운물:1컵|현미유:4|소금:1꼬집|후추:톡톡|마요네즈:1|매실액:1/2|유자청:1/2|식초:1|연겨자:1/2,1인분,30분 이내,초급,https://www.10000recipe.com/recipe/6832032
59,오늘같이 비오는 날에 별미! 매생이전,조회수 2.4만,매생이:2줌|냉동새우:10마리|청양고추:2개|부침가루:1cup|물:1cup|홍고추:1/2개,"6인분,이상",30분 이내,아무나,https://www.10000recipe.com/recipe/6879307
60,::돼지목뼈찜:: 감자탕말고 간장조림 스타일로 시판소스 첨가해서 간편하게♡,조회수 1.1만,돼지목뼈:큰거:6개|당면:1줌|베트남고추:5개|양파:1/2개|파:흰부분:1/2대|생강:5슬라이스|간장:1/2컵|설탕:4/1컵|다진마늘:2스픈|시판:돼지갈비소스:적당량,3인분,60분 이내,중급,https://www.10000recipe.com/recipe/6884755
61,손님초대요리~닭갈비구이!,"조회수 7,857",넙적:닭다리살:(닭갈비용):1kg|간장찜닭용장:200g|매운갈비:양념장:4큰술|어린잎채소:1주먹|월계수잎:조금|다진마늘:1큰술|생강가루:1작은술|식용류:1/2큰술|통깨:조금,3인분,2시간 이상,아무나,https://www.10000recipe.com/recipe/6907737
62,야매 게살 샌드위치~ [크래미 샌드위치],조회수 1만,모닝롤:5개|크래미:5조각|오이:1개|마요네즈:1큰술|생와사비:1/2작은술|브리치즈:약간|양상추:약간|통후추:약간|파슬리:약간,2인분,10분 이내,초급,https://www.10000recipe.com/recipe/6836281
63,새콤달콤한 김치비빔라면,조회수 9만,김치잎:2~3장|단무지:3개|삼은:계란:1개|오이|라면|고추장:1큰술|고춧가루:1/2큰술|참기름|깨소금:약간|식초:1/2큰술|간장:1작은술|매실액:1큰술(또는:설탕:1큰술),@,@,아무나,https://www.10000recipe.com/recipe/2787415
