,title,views,ingredients,peoples,times,levels,url
0,참치 샌드위치,조회수 1.2만,식빵:4개|캔참치:1개(15그램)|양상추:조금|오이:5센티:1토막|양파:1/2개|마요네즈:6큰술|머스터드:적당량|소금:약간|후추:약간,1인분,30분 이내,초급,https://www.10000recipe.com/recipe/1657442
1,오징어무침과 해물파전 만들기 ,"조회수 9,581",오징어채:200그램|양배추:크게:1움큼|당근:약간|청양고추:1개|양파:1/4개||쪽파:20개|모듬해물:2줌|당근:약간|양파:1/2개|밀가루:1컵|물:1컵|계란:1개|시판초고추장:2큰술|고춧가루:1큰술||소금:약간|후추:약간,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/1657438
2,오징어전 - 딸에게#,"조회수 4,493",@,@,@,@,https://www.10000recipe.com/recipe/1657370
3,뼈다귀 감자탕 만들기 ,조회수 1.5만,돼지등뼈:적당량|감자:적당량|부추:적당량|우거지:적당량|깻잎:적당량|대파:적당량|된장:1큰술|고추장:2큰술|소금:약간|후추:약간|황기|다진마늘:2큰술,4인분,2시간 이상,중급,https://www.10000recipe.com/recipe/1657147
4,달걀 모자를 쓴 부인 크로스 마담,조회수 900,식빵:2장|슬라이스:치즈:1장|슬라이스:햄:2장|모짜렐라:치즈:1줌|달걀:1개,1인분,15분 이내,초급,https://www.10000recipe.com/recipe/1657023
5,돼지목살된장구이,"조회수 9,739",돼지목살:1근(600그램)|깻잎:20장|양파:1개|된장:4큰술|유자청:듬뿍:2큰술|설탕:1/2큰술|청주:2큰술|다진:마늘:듬뿍:1큰술|다진:생강:1작은술|후추:약간,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/1656710
6,삭힌 홍어찜,조회수 1만,삭힌:홍어:1/4쪽|굵은:콩나물:600그램|미나리:1/2단|간장:5큰술|고춧가루:3큰술|다진:마늘:1큰술|다진:파:2큰술|청양고추:1개|홍고추:1/2개:다진것|간장:3큰술|고춧가루:1큰술|다진:파:1큰술|다진:마늘:약간|참기름:약간,2인분,30분 이내,중급,https://www.10000recipe.com/recipe/1656708
7,햄또띠아피자,"조회수 6,202",또띠아:1장(8인치)|리챔:1/3캔|혼합야채:1줌|양파:1/4개|올리브:3~4개|피자치즈:60그램|토마토스파게티소스:2큰술|데리야끼소스:1큰술,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/1656701
8,브로콜리치즈떡볶이,"조회수 3,277",떡볶이떡:500그램|약고추장:듬뿍:2큰술|브로콜리:1/2개|피자치즈:1줌|소금:약간,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/1656694
9,군고구마,"조회수 4,312",@,@,@,@,https://www.10000recipe.com/recipe/1656614
10,면역력을 키우는 건강한 식사 오징어덮밥,"조회수 4,086",@,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/1656521
11,먹고 나면 속이 든든해지는 제육덮밥,"조회수 7,231",돼지고기:앞다리살:100g|당근|대파|양배추|양파|청양고추|다시마:국물:1/2컵|깻잎|상추|참기름|참깨:약간|고추장:2큰술|고춧가루:2큰술|물엿:1큰술|설탕:1+1/2큰술|간장:2큰술|소금:2작은술|다진:파:2큰술|다진:마늘:1작은술|청주:2큰술|깨소금:약간|참기름:약간,1인분,30분 이내,초급,https://www.10000recipe.com/recipe/1656516
