,title,views,ingredients,peoples,times,levels,url
0,시금치 크림 리조또,"조회수 1,428",시금치:1/2단|버터:1큰술|양파:1개|다진마늘:1큰술|닭가슴살:1~2덩어리|생크림:1팩|우유:약간|베이컨:적당량|슬라이스치즈:2장|소금:약간|후추:약간,3인분,60분 이내,초급,https://www.10000recipe.com/recipe/6948436
1,두부 참치찌개,조회수 8.9만,두부:1모|참치:1캔|콩나물:1줌|고추:1개|대파:1/2개|고추장:1큰술|고추가루:1큰술|다진마늘:1큰술|후추가루:적당량|설탕:1작은술|물:2컵|소금:약간,3인분,30분 이내,초급,https://www.10000recipe.com/recipe/5566805
2,카레감자볶음,조회수 1.8만,감자:2개|양파:1개|당근:1/3개|카놀라유:2큰술|카레가루:1큰술|소금:1/4큰술,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/6876314
3,참나물 두부된장무침,조회수 4.2만,참나물:2봉지(1봉지:약:700g)|두부:1/2모|소금:1/3작은술|설탕:1/3작은술|참기름:1/2작은술|된장:3큰술|다진마늘:1작은술|설탕(기호에:따라):1/2~1큰술|참기름:1큰술,3인분,15분 이내,초급,https://www.10000recipe.com/recipe/4559533
4,크림라파게티:우유와 라면으로 뚝딱!,"조회수 9,373",라면:1개|우유:2컵|달걀:선택|양파:1/2개|마늘:3톨|식용유:조금|라면스프:1/2봉지,1인분,15분 이내,초급,https://www.10000recipe.com/recipe/6923015
5,들깨 만두전골 ,조회수 2.2만,냉동만두:8개:300g|팽이버섯:1/2봉지|애느타리버섯:100g|채썬:양파:1/4개|다진마늘:1큰술|다시마:끓인물:2+1/2컵|국간장:1+1/2큰술|들깨가루:2큰술|곱게:어슷썬:대파:1/2대,1인분,30분 이내,초급,https://www.10000recipe.com/recipe/6739754
6,무조림,조회수 2.8만,멸치:1줌|무:1/2개|양파:1/2개|간장:5T|고추가루:3T|물엿:4T|마늘:2T|생강:2분의:1작은술|맛술:100ml,4인분,60분 이내,중급,https://www.10000recipe.com/recipe/6900516
7,깐풍만두 냉동만두요리를 가지고 왔어요.,"조회수 2,723",냉동만두:15개|간장:4T|식초:3T|설탕:3T|후추|피망:1개|빨강미니:파프리카:1개|노랑:미니:파프리카:1개|양파:1/8개|대파:1/2대|간마늘|기름,2인분,30분 이내,초급,https://www.10000recipe.com/recipe/6928983
8,온가족 입맛저격 여름반찬/매운 감자꽈리고추조림,"조회수 1,741",감자:2개|꽈리고추:15개|식용유:약간|물:1/3컵|간장:2스푼|맛술:1스푼|물엿:2스푼|고추장:1스푼|식초:1티스푼|참기름:1스푼,3인분,15분 이내,초급,https://www.10000recipe.com/recipe/6964047
9,5분 만두그라탕 만들기,조회수 2.2만,토마토소스|치즈|체다치즈|만두,2인분,5분 이내,아무나,https://www.10000recipe.com/recipe/6849937
