,title,views,ingredients,peoples,times,levels,url
0,삼치감자조림 하나만 있어도 밥한공기 뚝딱! ,조회수 2.1만,삼치:400g|감자:2개|양파:1/4개|대파:1/4대|청고추:1개|홍고추:1개|고추장:1숟가락|고춧가루:2숟가락|간장:3숟가락|설탕:1숟가락|맛술:1숟가락|소주:1숟가락|다진마늘:1/2숟가락|후추:약간|참기름:약간|다시마육수:1종이컵,3인분,30분 이내,아무나,https://www.10000recipe.com/recipe/6902978
1,"태국식 볶음쌀국수, 팟타이",조회수 3.1만,팟타이면(라이스:스틱):70g|손질된:새우:7마리|달걀:1개|숙주:30g|부추:6줄|양파:1/5개|당근·건고추:조금|고수:1뿌리|땅콩분태:약간|레몬:1조각|피시소스:1.5T|스리랏차:핫소스:2T|굴소스:1/2T|설탕:1T|후추:약간|물:200cc,3인분,30분 이내,중급,https://www.10000recipe.com/recipe/6871428
2,구수하면서 달달한 알배추 된장국,조회수 6만,알배추:1통|다시마:5쪽|물(육수):5머그컵(2000ml)|된장:2스푼|다진마늘:1스푼|대파:1대|멸치가루:1스푼|액젓or소금:약간,4인분,30분 이내,초급,https://www.10000recipe.com/recipe/6843671
3,별미인 독일식 파 수프(Lauchsuppe) 레시피 !,"조회수 4,949",다진소고기:250g|양배추:1/4개|파:혹은:대파:2개|Sahne:5~6장|베이컨:5장|마늘:10쪽|리크:1개|양파:2개|소금:1t|후추:1t|야채가루(생략가능):1t,5인분,30분 이내,초급,https://www.10000recipe.com/recipe/6836033
4,참치마요주먹밥 이거 하나만 추가하면 더 맛있어요,조회수 6.6만,참치:1캔(210g)|밥:2공기|단무지:1줌|김:20장정도|마요네즈:6큰술,2인분,15분 이내,아무나,https://www.10000recipe.com/recipe/6877961
5,간단 쨈 만들기 /과육이 살아있는 블루베리 콩포트,"조회수 5,540",블루베리:500g|설탕:200g|레몬즙:1방울,4인분,60분 이내,초급,https://www.10000recipe.com/recipe/6892285
6,바라만봐도 푸짐한 오징어순대,조회수 3.3만,오징어(중):2마리|다진고기:2큰술|으깬두부:1/2모|다진표고버섯:1큰술|밀가루:2큰술|달걀:1개|다진쪽파:1큰술|다진당근:2큰술|간장:2큰술|설탕:1큰술|다진마늘:1큰술|후춧가루:1/3작은술|소금:1큰술|참기름:1큰술,2인분,30분 이내,중급,https://www.10000recipe.com/recipe/6837600
7,바나나케이크:계란없다고 베이킹 못할쏘냐!마지막,"조회수 3,825",밀가루:125그램|유기원당:50그램|베이킹파우더:4그램|소금:1그램|바나나:2개|오일:50그램|우유:70그램|베이킹용:초코칩:30그램|슈가파우더:약간,4인분,60분 이내,초급,https://www.10000recipe.com/recipe/6864592
8,찹쌀브라우니머핀,"조회수 7,172",찹쌀가루:140g|베이킹파우더:3g|우유:90g|달걀:1개|오일:10g|장식용:견과류:약간|코코아가루:10g|설탕:30g|초콜릿:60g,"6인분,이상",30분 이내,초급,https://www.10000recipe.com/recipe/3826607
9,맛보장 백종원 낙지볶음 쉽고 빠르게 만들기,"조회수 9,535",낙지:2마리|양파:1개|대파:1대|참기름:적당량|고춧가루:2T|진간장:3T|다진:마늘:1T|설탕:1T|맛술:1T,3인분,20분 이내,초급,https://www.10000recipe.com/recipe/6958585
